,Logistic Regression,K-Nearest Neighbors,Decision Tree Classifier,Random Forest Classifier,XGBoost Classifier
Accuracy,0.8806824488829358,0.8894665176754408,0.8741110477980626,0.8835315360650036,0.89160148300538
Precision,0.922318520424493,0.9300593462492542,0.9245305937182348,0.9260770204166431,0.9317924954792043
Recall,0.8809055708069099,0.8876967524605296,0.8668257069901819,0.8817087644005419,0.8895129290192647
F1 Score,0.9011364995079358,0.908384421702155,0.8947487277845664,0.9033484301834651,0.9101619758477513
