,Logistic Regression,K-Nearest Neighbors,Decision Tree Classifier,Random Forest Classifier,XGBoost Classifier
Accuracy,0.8263684868756984,0.8576603444065388,0.9999888996603296,0.999944498301648,0.8338797167193316
Precision,0.8385013211680481,0.8665162892956058,0.9999820183772185,0.9999220833707932,0.8532550755539074
Recall,0.89017826102593,0.9095268350576021,1.0,0.9999880120359159,0.8827037654195188
F1 Score,0.8635673789795029,0.887500767658335,0.9999910091077738,0.9999550466166586,0.8677296376824404
