,Logistic Regression,K-Nearest Neighbors,Decision Tree Classifier,Random Forest Classifier,XGBoost Classifier
Accuracy,0.8841827559923333,0.8916754852698493,0.877633555586801,0.880971057714366,0.8993125189630803
Precision,0.9177779010770188,0.926954783601917,0.9171359965073128,0.9181181964393276,0.9005634546310003
Recall,0.8923241065969766,0.8950513684261002,0.8814090652984403,0.8862162388961483,0.9407674694606615
F1 Score,0.9048720372233248,0.910723760848484,0.8989176847439703,0.9018851926519881,0.9202265504989505
