,Logistic Regression,K-Nearest Neighbors,Decision Tree Classifier,Random Forest Classifier,XGBoost Classifier
Accuracy,0.8318261538803088,0.7987027403038532,0.7351976970495298,0.7975927063368139,0.8313525393877053
Precision,0.866997635647899,0.829059278727676,0.7782814946369734,0.8306080208511466,0.8656025182567585
Recall,0.8594051572221489,0.848951652540849,0.7985182876392102,0.8442943284941918,0.8603881702770418
F1 Score,0.8631847011050339,0.838887556230769,0.7882700307095141,0.8373952564822824,0.8629874677977413
