Feature,Mean SHAP Values 1,Mean SHAP Values 2
gauss,0.1723343964481952,0.20012516434080901
mean_sq,0.1605182071575708,0.1578860110192249
gauss_sq,0.1052607502030216,0.0937007213352869
mean,0.040450842162288364,0.051811442963903165
